type,dust,wr,games,duration,card_0,card_1,card_2,card_3,card_4,card_5,card_6,card_7,card_8,card_9,card_10,card_11,card_12,card_13,card_14,card_15,card_16,card_17,card_18,card_19,card_20,card_21,card_22,card_23,card_24,card_25,card_26,card_27,card_28,card_29,wins,hero
Highlander Hunter,15600,0.593,1800,7.2,Blazing Battlemage,Crystallizer,Dwarven Sharpshooter,Springpaw,Tracking,Faerie Dragon,Phase Stalker,Rat Trap,Snake Trap,Sunreaver Spy,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Kill Command,Nightmare Amalgam,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonmaw Poacher,Houndmaster Shaw,Faceless Corruptor,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,1067.3999999999999,Hunter
Mech Paladin,6240,0.589,1100,5.5,Blessing of Wisdom,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Galvanizer,Shotbot,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Replicating Menace,Truesilver Champion,Leeroy Jenkins,Wargear,Zilliax,,,,,,,,,,,,,,647.9,Paladin
Quest Resurrect Priest,11860,0.589,1400,9.9,Forbidden Words,Activate the Obelisk,Penance,Breath of the Infinite,Shadow Word: Death,Archmage Vargoth,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,,824.5999999999999,Priest
Mech Paladin,7040,0.588,2500,6.4,Blessing of Wisdom,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Galvanizer,Micro Mummy,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Replicating Menace,Truesilver Champion,Wargear,Zilliax,Kangor's Endless Army,,,,,,,,,,,,,,1470.0,Paladin
Mech Paladin,7040,0.5870000000000001,40000,5.8,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Galvanizer,Micro Mummy,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Explodinator,Replicating Menace,Truesilver Champion,Leeroy Jenkins,Wargear,Zilliax,,,,,,,,,,,,,,23480.000000000004,Paladin
Mech Paladin,7000,0.5870000000000001,1500,5.5,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Galvanizer,Micro Mummy,Shotbot,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Replicating Menace,Truesilver Champion,Leeroy Jenkins,Wargear,Zilliax,,,,,,,,,,,,,,880.5000000000001,Paladin
Highlander Hunter,16440,0.5870000000000001,4200,7.0,Blazing Battlemage,Dwarven Sharpshooter,Springpaw,Tracking,Corrosive Breath,Faerie Dragon,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Kill Command,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Dragonmaw Poacher,Houndmaster Shaw,Big Ol' Whelp,Faceless Corruptor,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,2465.4000000000005,Hunter
Highlander Hunter,16340,0.5870000000000001,2600,6.9,Blazing Battlemage,Dwarven Sharpshooter,Springpaw,Tracking,Corrosive Breath,Faerie Dragon,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Kill Command,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Evasive Feywing,Faceless Corruptor,Leeroy Jenkins,Rotnest Drake,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,1526.2000000000003,Hunter
Token Druid,5320,0.586,3200,6.4,Acornbearer,Treenforcements,Dendrologist,Power of the Wild,Shrubadier,BEEEES!!!,Blessing of the Ancients,Landscaping,Savage Roar,Soul of the Forest,Wispering Woods,Aeroponics,Force of Nature,Treespeaker,Goru the Mightree,The Forest's Aid,Mulchmuncher,,,,,,,,,,,,,,1875.1999999999998,Druid
Token Druid,4840,0.586,2000,6.4,Acornbearer,Treenforcements,Dendrologist,Power of the Wild,Shrubadier,Blessing of the Ancients,Landscaping,Savage Roar,SN1P-SN4P,Garden Gnome,Soul of the Forest,Aeroponics,Anubisath Defender,Force of Nature,The Forest's Aid,Mulchmuncher,,,,,,,,,,,,,,,1172.0,Druid
Highlander Hunter,18000,0.586,2600,7.1,Blazing Battlemage,Dwarven Sharpshooter,Springpaw,Tracking,Faerie Dragon,Freezing Trap,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Kill Command,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Houndmaster Shaw,Lifedrinker,Faceless Corruptor,Leeroy Jenkins,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,1523.6,Hunter
Mech Paladin,6960,0.586,6300,5.8,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Galvanizer,Micro Mummy,Shotbot,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Replicating Menace,Truesilver Champion,Leeroy Jenkins,Wargear,Zilliax,,,,,,,,,,,,,,3691.7999999999997,Paladin
Face Hunter,10000,0.586,2500,6.5,Dwarven Sharpshooter,Secretkeeper,Springpaw,Toxic Reinforcements,Explosive Trap,Freezing Trap,Phase Stalker,Pressure Plate,Rat Trap,Snake Trap,Snipe,Sunreaver Spy,Animal Companion,Eaglehorn Bow,Masked Contender,Dragonbane,Houndmaster Shaw,Hyena Alpha,Leeroy Jenkins,Subject 9,,,,,,,,,,,1465.0,Hunter
Mech Paladin,7200,0.586,1800,6.0,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Galvanizer,Micro Mummy,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Replicating Menace,Truesilver Champion,Faceless Corruptor,Leeroy Jenkins,Wargear,Zilliax,,,,,,,,,,,,,,1054.8,Paladin
